"ID","CatID","Exchange","IndustryName","Code","Name","TotalShares","URL","Row","TotalRecord"
1323,5,"UPCoM","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BMS","CTCP Chứng khoán Bảo Minh",60989375,"https://finance.vietstock.vn/BMS-ctcp-chung-khoan-bao-minh.htm",123,3223
4391,5,"UPCoM","Sản xuất thực phẩm","BMV","CTCP Bột mỳ Vinafood 1",24200000,"https://finance.vietstock.vn/BMV-ctcp-bot-my-vinafood-1.htm",124,3223
4834,2,"HNX","Sản xuất thực phẩm","BNA","CTCP Đầu tư Sản xuất Bảo Ngọc",19999989,"https://finance.vietstock.vn/BNA-ctcp-dau-tu-san-xuat-bao-ngoc.htm",125,3223
4445,5,"UPCoM","Nước, chất thải và các hệ thống khác","BNW","CTCP Nước sạch Bắc Ninh",37549391,"https://finance.vietstock.vn/BNW-ctcp-nuoc-sach-bac-ninh.htm",126,3223
4727,5,"UPCoM","Xây dựng công nghiệp nặng và dân dụng","BOT","CTCP BOT Cầu Thái Hà",59246800,"https://finance.vietstock.vn/BOT-ctcp-bot-cau-thai-ha.htm",127,3223
40,2,"HNX","Sản xuất giấy","BPC","CTCP VICEM Bao bì Bỉm Sơn",3800000,"https://finance.vietstock.vn/BPC-ctcp-vicem-bao-bi-bim-son.htm",128,3223
4629,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BQB","CTCP Bia Hà Nội - Quảng Bình",5800000,"https://finance.vietstock.vn/BQB-ctcp-bia-ha-noi-quang-binh.htm",129,3223
2146,1,"HOSE","Sản xuất các sản phẩm nhựa và cao su","BRC","CTCP Cao su Bến Thành",12374997,"https://finance.vietstock.vn/BRC-ctcp-cao-su-ben-thanh.htm",130,3223
4515,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BRR","CTCP Cao su Bà Rịa",112500000,"https://finance.vietstock.vn/BRR-ctcp-cao-su-ba-ria.htm",131,3223
3829,5,"UPCoM","Nước, chất thải và các hệ thống khác","BRS","CTCP Dịch vụ Đô thị Bà Rịa",4541950,"https://finance.vietstock.vn/BRS-ctcp-dich-vu-do-thi-ba-ria.htm",132,3223
4699,5,"UPCoM","Phát, truyền tải và phân phối điện năng","BSA","CTCP Thủy điện Buôn Đôn",65540346,"https://finance.vietstock.vn/BSA-ctcp-thuy-dien-buon-don.htm",133,3223
2081,2,"HNX","Kho bãi","BSC","CTCP Dịch vụ Bến Thành",3150747,"https://finance.vietstock.vn/BSC-ctcp-dich-vu-ben-thanh.htm",134,3223
4495,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSD","CTCP Bia, Rượu Sài Gòn - Đồng Xuân",3000000,"https://finance.vietstock.vn/BSD-ctcp-bia-ruou-sai-gon-dong-xuan.htm",135,3223
4253,5,"UPCoM","Vận tải trung chuyển và vận tải hành khách bằng đường bộ","BSG","CTCP Xe khách Sài Gòn",60000000,"https://finance.vietstock.vn/BSG-ctcp-xe-khach-sai-gon.htm",136,3223
4694,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSH","CTCP Bia Sài Gòn - Hà Nội",18000000,"https://finance.vietstock.vn/BSH-ctcp-bia-sai-gon-ha-noi.htm",137,3223
1402,1,"HOSE","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BSI","CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam",187800120,"https://finance.vietstock.vn/BSI-ctcp-chung-khoan-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm",138,3223
4514,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSL","CTCP Bia Sài Gòn - Sông Lam",45000000,"https://finance.vietstock.vn/BSL-ctcp-bia-sai-gon-song-lam.htm",139,3223
4365,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSP","CTCP Bia Sài Gòn - Phú Thọ",12500000,"https://finance.vietstock.vn/BSP-ctcp-bia-sai-gon-phu-tho.htm",140,3223
2802,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSQ","CTCP Bia Sài Gòn - Quảng Ngãi",45000000,"https://finance.vietstock.vn/BSQ-ctcp-bia-sai-gon-quang-ngai.htm",141,3223
4338,5,"UPCoM","Sản xuất xăng dầu và than đá","BSR","CTCP Lọc hóa Dầu Bình Sơn",244119369,"https://finance.vietstock.vn/BSR-ctcp-loc-hoa-dau-binh-son.htm",142,3223
1447,2,"HNX","Công nghiệp xuất bản - Ngoại trừ internet","BST","CTCP Sách và Thiết bị Bình Thuận",1100000,"https://finance.vietstock.vn/BST-ctcp-sach-va-thiet-bi-binh-thuan.htm",143,3223
2857,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BT1","CTCP Bảo vệ Thực vật 1 Trung Ương",5250000,"https://finance.vietstock.vn/BT1-ctcp-bao-ve-thuc-vat-1-trung-uong.htm",144,3223
36,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BT6","CTCP Beton 6",32993550,"https://finance.vietstock.vn/BT6-ctcp-beton-6.htm",145,3223
2401,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BTB","CTCP Bia Hà Nội - Thái Bình",7691226,"https://finance.vietstock.vn/BTB-ctcp-bia-ha-noi-thai-binh.htm",146,3223
2455,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTD","CTCP Bê tông Ly tâm Thủ Đức",6414100,"https://finance.vietstock.vn/BTD-ctcp-be-tong-ly-tam-thu-duc.htm",147,3223
1934,5,"UPCoM","Sản xuất giấy","BTG","CTCP Bao bì Tiền Giang",1190000,"https://finance.vietstock.vn/BTG-ctcp-bao-bi-tien-giang.htm",148,3223
1117,5,"UPCoM","Sản xuất trang thiết bị, dụng cụ điện","BTH","CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội",25000000,"https://finance.vietstock.vn/BTH-ctcp-che-tao-bien-the-va-vat-lieu-dien-ha-noi.htm",149,3223
4627,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTN","CTCP Gạch Tuy Nen Bình Định",4465570,"https://finance.vietstock.vn/BTN-ctcp-gach-tuy-nen-binh-dinh.htm",150,3223
2659,5,"UPCoM","Xây dựng nhà cửa, cao ốc","BHT","CTCP Đầu tư Xây dựng Bạch Đằng TMC",4565000,"https://finance.vietstock.vn/BHT-ctcp-dau-tu-xay-dung-bach-dang-tmc.htm",101,3223
1909,1,"HOSE","Bảo hiểm và các hoạt động liên quan","BIC","Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam",117276895,"https://finance.vietstock.vn/BIC-tong-cong-ty-co-phan-bao-hiem-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm",102,3223
1161,1,"HOSE","Trung gian tín dụng và các hoạt động liên quan","BID","Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",5058523816,"https://finance.vietstock.vn/BID-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam.htm",103,3223
4891,5,"UPCoM","Bán buôn hàng lâu bền","BIG","CTCP Big Invest Group",5000000,"https://finance.vietstock.vn/BIG-ctcp-big-invest-group.htm",104,3223
3746,2,"HNX","Bất động sản ","BII","CTCP Louis Land",57680000,"https://finance.vietstock.vn/BII-ctcp-louis-land.htm",105,3223
4260,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BIO","CTCP Vắc xin và Sinh phẩm Nha Trang",8562000,"https://finance.vietstock.vn/BIO-ctcp-vac-xin-va-sinh-pham-nha-trang.htm",106,3223
1806,2,"HNX","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BKC","CTCP Khoáng sản Bắc Kạn",11737728,"https://finance.vietstock.vn/BKC-ctcp-khoang-san-bac-kan.htm",107,3223
4847,1,"HOSE","Sản xuất các sản phẩm gỗ","BKG","CTCP Đầu tư BKG Việt Nam",68199983,"https://finance.vietstock.vn/BKG-ctcp-dau-tu-bkg-viet-nam.htm",108,3223
1565,5,"UPCoM","Sản xuất thực phẩm","BKH","CTCP Bánh mứt kẹo Hà Nội",1750000,"https://finance.vietstock.vn/BKH-ctcp-banh-mut-keo-ha-noi.htm",109,3223
1151,2,"HNX","Sản xuất thực phẩm","BLF","CTCP Thủy sản Bạc Liêu",11500000,"https://finance.vietstock.vn/BLF-ctcp-thuy-san-bac-lieu.htm",110,3223
1873,5,"UPCoM","Bảo hiểm và các hoạt động liên quan","BLI","Tổng Công ty cổ phần Bảo hiểm Bảo Long",60000000,"https://finance.vietstock.vn/BLI-tong-cong-ty-co-phan-bao-hiem-bao-long.htm",111,3223
3980,5,"UPCoM","Vận tải trung chuyển và vận tải hành khách bằng đường bộ","BLN","CTCP Vận tải và Dịch vụ Liên Ninh",5000000,"https://finance.vietstock.vn/BLN-ctcp-van-tai-va-dich-vu-lien-ninh.htm",112,3223
2478,5,"UPCoM","Sản xuất thực phẩm","BLT","CTCP Lương thực Bình Định",4000000,"https://finance.vietstock.vn/BLT-ctcp-luong-thuc-binh-dinh.htm",113,3223
4061,5,"UPCoM","Nước, chất thải và các hệ thống khác","BLW","CTCP Cấp nước Bạc Liêu",11168800,"https://finance.vietstock.vn/BLW-ctcp-cap-nuoc-bac-lieu.htm",114,3223
785,1,"HOSE","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BMC","CTCP Khoáng sản Bình Định",12392630,"https://finance.vietstock.vn/BMC-ctcp-khoang-san-binh-dinh.htm",115,3223
4512,5,"UPCoM","Dịch vụ quản lý và tái chế chất thải","BMD","CTCP Môi trường và Dịch vụ Đô thị Bình Thuận",2753280,"https://finance.vietstock.vn/BMD-ctcp-moi-truong-va-dich-vu-do-thi-binh-thuan.htm",116,3223
4670,5,"UPCoM","Trạm xăng","BMF","CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai",4159600,"https://finance.vietstock.vn/BMF-ctcp-vat-lieu-xay-dung-va-chat-dot-dong-nai.htm",117,3223
4719,5,"UPCoM","Sản xuất các sản phẩm may mặc","BMG","CTCP May Bình Minh",5292000,"https://finance.vietstock.vn/BMG-ctcp-may-binh-minh.htm",118,3223
894,1,"HOSE","Bảo hiểm và các hoạt động liên quan","BMI","Tổng Công ty cổ phần Bảo Minh",109623985,"https://finance.vietstock.vn/BMI-tong-cong-ty-co-phan-bao-minh.htm",119,3223
2026,5,"UPCoM","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BMJ","CTCP Khoáng sản Miền Đông AHP",104999978,"https://finance.vietstock.vn/BMJ-ctcp-khoang-san-mien-dong-ahp.htm",120,3223
4294,5,"UPCoM","Xây dựng công nghiệp nặng và dân dụng","BMN","CTCP 715",2750000,"https://finance.vietstock.vn/BMN-ctcp-715.htm",121,3223
712,1,"HOSE","Sản xuất các sản phẩm nhựa và cao su","BMP","CTCP Nhựa Bình Minh",81860938,"https://finance.vietstock.vn/BMP-ctcp-nhua-binh-minh.htm",122,3223
1323,5,"UPCoM","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BMS","CTCP Chứng khoán Bảo Minh",60989375,"https://finance.vietstock.vn/BMS-ctcp-chung-khoan-bao-minh.htm",123,3223
4391,5,"UPCoM","Sản xuất thực phẩm","BMV","CTCP Bột mỳ Vinafood 1",24200000,"https://finance.vietstock.vn/BMV-ctcp-bot-my-vinafood-1.htm",124,3223
4834,2,"HNX","Sản xuất thực phẩm","BNA","CTCP Đầu tư Sản xuất Bảo Ngọc",19999989,"https://finance.vietstock.vn/BNA-ctcp-dau-tu-san-xuat-bao-ngoc.htm",125,3223
4445,5,"UPCoM","Nước, chất thải và các hệ thống khác","BNW","CTCP Nước sạch Bắc Ninh",37549391,"https://finance.vietstock.vn/BNW-ctcp-nuoc-sach-bac-ninh.htm",126,3223
4727,5,"UPCoM","Xây dựng công nghiệp nặng và dân dụng","BOT","CTCP BOT Cầu Thái Hà",59246800,"https://finance.vietstock.vn/BOT-ctcp-bot-cau-thai-ha.htm",127,3223
40,2,"HNX","Sản xuất giấy","BPC","CTCP VICEM Bao bì Bỉm Sơn",3800000,"https://finance.vietstock.vn/BPC-ctcp-vicem-bao-bi-bim-son.htm",128,3223
4629,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BQB","CTCP Bia Hà Nội - Quảng Bình",5800000,"https://finance.vietstock.vn/BQB-ctcp-bia-ha-noi-quang-binh.htm",129,3223
2146,1,"HOSE","Sản xuất các sản phẩm nhựa và cao su","BRC","CTCP Cao su Bến Thành",12374997,"https://finance.vietstock.vn/BRC-ctcp-cao-su-ben-thanh.htm",130,3223
4515,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BRR","CTCP Cao su Bà Rịa",112500000,"https://finance.vietstock.vn/BRR-ctcp-cao-su-ba-ria.htm",131,3223
3829,5,"UPCoM","Nước, chất thải và các hệ thống khác","BRS","CTCP Dịch vụ Đô thị Bà Rịa",4541950,"https://finance.vietstock.vn/BRS-ctcp-dich-vu-do-thi-ba-ria.htm",132,3223
4699,5,"UPCoM","Phát, truyền tải và phân phối điện năng","BSA","CTCP Thủy điện Buôn Đôn",65540346,"https://finance.vietstock.vn/BSA-ctcp-thuy-dien-buon-don.htm",133,3223
2081,2,"HNX","Kho bãi","BSC","CTCP Dịch vụ Bến Thành",3150747,"https://finance.vietstock.vn/BSC-ctcp-dich-vu-ben-thanh.htm",134,3223
4495,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSD","CTCP Bia, Rượu Sài Gòn - Đồng Xuân",3000000,"https://finance.vietstock.vn/BSD-ctcp-bia-ruou-sai-gon-dong-xuan.htm",135,3223
4253,5,"UPCoM","Vận tải trung chuyển và vận tải hành khách bằng đường bộ","BSG","CTCP Xe khách Sài Gòn",60000000,"https://finance.vietstock.vn/BSG-ctcp-xe-khach-sai-gon.htm",136,3223
4694,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSH","CTCP Bia Sài Gòn - Hà Nội",18000000,"https://finance.vietstock.vn/BSH-ctcp-bia-sai-gon-ha-noi.htm",137,3223
1402,1,"HOSE","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BSI","CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam",187800120,"https://finance.vietstock.vn/BSI-ctcp-chung-khoan-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm",138,3223
4514,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSL","CTCP Bia Sài Gòn - Sông Lam",45000000,"https://finance.vietstock.vn/BSL-ctcp-bia-sai-gon-song-lam.htm",139,3223
4365,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSP","CTCP Bia Sài Gòn - Phú Thọ",12500000,"https://finance.vietstock.vn/BSP-ctcp-bia-sai-gon-phu-tho.htm",140,3223
2802,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSQ","CTCP Bia Sài Gòn - Quảng Ngãi",45000000,"https://finance.vietstock.vn/BSQ-ctcp-bia-sai-gon-quang-ngai.htm",141,3223
4338,5,"UPCoM","Sản xuất xăng dầu và than đá","BSR","CTCP Lọc hóa Dầu Bình Sơn",244119369,"https://finance.vietstock.vn/BSR-ctcp-loc-hoa-dau-binh-son.htm",142,3223
1447,2,"HNX","Công nghiệp xuất bản - Ngoại trừ internet","BST","CTCP Sách và Thiết bị Bình Thuận",1100000,"https://finance.vietstock.vn/BST-ctcp-sach-va-thiet-bi-binh-thuan.htm",143,3223
2857,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BT1","CTCP Bảo vệ Thực vật 1 Trung Ương",5250000,"https://finance.vietstock.vn/BT1-ctcp-bao-ve-thuc-vat-1-trung-uong.htm",144,3223
36,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BT6","CTCP Beton 6",32993550,"https://finance.vietstock.vn/BT6-ctcp-beton-6.htm",145,3223
2401,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BTB","CTCP Bia Hà Nội - Thái Bình",7691226,"https://finance.vietstock.vn/BTB-ctcp-bia-ha-noi-thai-binh.htm",146,3223
2455,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTD","CTCP Bê tông Ly tâm Thủ Đức",6414100,"https://finance.vietstock.vn/BTD-ctcp-be-tong-ly-tam-thu-duc.htm",147,3223
1934,5,"UPCoM","Sản xuất giấy","BTG","CTCP Bao bì Tiền Giang",1190000,"https://finance.vietstock.vn/BTG-ctcp-bao-bi-tien-giang.htm",148,3223
1117,5,"UPCoM","Sản xuất trang thiết bị, dụng cụ điện","BTH","CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội",25000000,"https://finance.vietstock.vn/BTH-ctcp-che-tao-bien-the-va-vat-lieu-dien-ha-noi.htm",149,3223
4627,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTN","CTCP Gạch Tuy Nen Bình Định",4465570,"https://finance.vietstock.vn/BTN-ctcp-gach-tuy-nen-binh-dinh.htm",150,3223
2659,5,"UPCoM","Xây dựng nhà cửa, cao ốc","BHT","CTCP Đầu tư Xây dựng Bạch Đằng TMC",4565000,"https://finance.vietstock.vn/BHT-ctcp-dau-tu-xay-dung-bach-dang-tmc.htm",101,3223
1909,1,"HOSE","Bảo hiểm và các hoạt động liên quan","BIC","Tổng Công ty cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam",117276895,"https://finance.vietstock.vn/BIC-tong-cong-ty-co-phan-bao-hiem-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm",102,3223
1161,1,"HOSE","Trung gian tín dụng và các hoạt động liên quan","BID","Ngân hàng TMCP Đầu tư và Phát triển Việt Nam",5058523816,"https://finance.vietstock.vn/BID-ngan-hang-tmcp-dau-tu-va-phat-trien-viet-nam.htm",103,3223
4891,5,"UPCoM","Bán buôn hàng lâu bền","BIG","CTCP Big Invest Group",5000000,"https://finance.vietstock.vn/BIG-ctcp-big-invest-group.htm",104,3223
3746,2,"HNX","Bất động sản ","BII","CTCP Louis Land",57680000,"https://finance.vietstock.vn/BII-ctcp-louis-land.htm",105,3223
4260,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BIO","CTCP Vắc xin và Sinh phẩm Nha Trang",8562000,"https://finance.vietstock.vn/BIO-ctcp-vac-xin-va-sinh-pham-nha-trang.htm",106,3223
1806,2,"HNX","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BKC","CTCP Khoáng sản Bắc Kạn",11737728,"https://finance.vietstock.vn/BKC-ctcp-khoang-san-bac-kan.htm",107,3223
4847,1,"HOSE","Sản xuất các sản phẩm gỗ","BKG","CTCP Đầu tư BKG Việt Nam",68199983,"https://finance.vietstock.vn/BKG-ctcp-dau-tu-bkg-viet-nam.htm",108,3223
1565,5,"UPCoM","Sản xuất thực phẩm","BKH","CTCP Bánh mứt kẹo Hà Nội",1750000,"https://finance.vietstock.vn/BKH-ctcp-banh-mut-keo-ha-noi.htm",109,3223
1151,2,"HNX","Sản xuất thực phẩm","BLF","CTCP Thủy sản Bạc Liêu",11500000,"https://finance.vietstock.vn/BLF-ctcp-thuy-san-bac-lieu.htm",110,3223
1873,5,"UPCoM","Bảo hiểm và các hoạt động liên quan","BLI","Tổng Công ty cổ phần Bảo hiểm Bảo Long",60000000,"https://finance.vietstock.vn/BLI-tong-cong-ty-co-phan-bao-hiem-bao-long.htm",111,3223
3980,5,"UPCoM","Vận tải trung chuyển và vận tải hành khách bằng đường bộ","BLN","CTCP Vận tải và Dịch vụ Liên Ninh",5000000,"https://finance.vietstock.vn/BLN-ctcp-van-tai-va-dich-vu-lien-ninh.htm",112,3223
2478,5,"UPCoM","Sản xuất thực phẩm","BLT","CTCP Lương thực Bình Định",4000000,"https://finance.vietstock.vn/BLT-ctcp-luong-thuc-binh-dinh.htm",113,3223
4061,5,"UPCoM","Nước, chất thải và các hệ thống khác","BLW","CTCP Cấp nước Bạc Liêu",11168800,"https://finance.vietstock.vn/BLW-ctcp-cap-nuoc-bac-lieu.htm",114,3223
785,1,"HOSE","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BMC","CTCP Khoáng sản Bình Định",12392630,"https://finance.vietstock.vn/BMC-ctcp-khoang-san-binh-dinh.htm",115,3223
4512,5,"UPCoM","Dịch vụ quản lý và tái chế chất thải","BMD","CTCP Môi trường và Dịch vụ Đô thị Bình Thuận",2753280,"https://finance.vietstock.vn/BMD-ctcp-moi-truong-va-dich-vu-do-thi-binh-thuan.htm",116,3223
4670,5,"UPCoM","Trạm xăng","BMF","CTCP Vật liệu Xây dựng và Chất đốt Đồng Nai",4159600,"https://finance.vietstock.vn/BMF-ctcp-vat-lieu-xay-dung-va-chat-dot-dong-nai.htm",117,3223
4719,5,"UPCoM","Sản xuất các sản phẩm may mặc","BMG","CTCP May Bình Minh",5292000,"https://finance.vietstock.vn/BMG-ctcp-may-binh-minh.htm",118,3223
894,1,"HOSE","Bảo hiểm và các hoạt động liên quan","BMI","Tổng Công ty cổ phần Bảo Minh",109623985,"https://finance.vietstock.vn/BMI-tong-cong-ty-co-phan-bao-minh.htm",119,3223
2026,5,"UPCoM","Khai khoáng (ngoại trừ dầu mỏ và khí đốt)","BMJ","CTCP Khoáng sản Miền Đông AHP",104999978,"https://finance.vietstock.vn/BMJ-ctcp-khoang-san-mien-dong-ahp.htm",120,3223
4294,5,"UPCoM","Xây dựng công nghiệp nặng và dân dụng","BMN","CTCP 715",2750000,"https://finance.vietstock.vn/BMN-ctcp-715.htm",121,3223
712,1,"HOSE","Sản xuất các sản phẩm nhựa và cao su","BMP","CTCP Nhựa Bình Minh",81860938,"https://finance.vietstock.vn/BMP-ctcp-nhua-binh-minh.htm",122,3223
1323,5,"UPCoM","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BMS","CTCP Chứng khoán Bảo Minh",60989375,"https://finance.vietstock.vn/BMS-ctcp-chung-khoan-bao-minh.htm",123,3223
4391,5,"UPCoM","Sản xuất thực phẩm","BMV","CTCP Bột mỳ Vinafood 1",24200000,"https://finance.vietstock.vn/BMV-ctcp-bot-my-vinafood-1.htm",124,3223
4834,2,"HNX","Sản xuất thực phẩm","BNA","CTCP Đầu tư Sản xuất Bảo Ngọc",19999989,"https://finance.vietstock.vn/BNA-ctcp-dau-tu-san-xuat-bao-ngoc.htm",125,3223
4445,5,"UPCoM","Nước, chất thải và các hệ thống khác","BNW","CTCP Nước sạch Bắc Ninh",37549391,"https://finance.vietstock.vn/BNW-ctcp-nuoc-sach-bac-ninh.htm",126,3223
4727,5,"UPCoM","Xây dựng công nghiệp nặng và dân dụng","BOT","CTCP BOT Cầu Thái Hà",59246800,"https://finance.vietstock.vn/BOT-ctcp-bot-cau-thai-ha.htm",127,3223
40,2,"HNX","Sản xuất giấy","BPC","CTCP VICEM Bao bì Bỉm Sơn",3800000,"https://finance.vietstock.vn/BPC-ctcp-vicem-bao-bi-bim-son.htm",128,3223
4629,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BQB","CTCP Bia Hà Nội - Quảng Bình",5800000,"https://finance.vietstock.vn/BQB-ctcp-bia-ha-noi-quang-binh.htm",129,3223
2146,1,"HOSE","Sản xuất các sản phẩm nhựa và cao su","BRC","CTCP Cao su Bến Thành",12374997,"https://finance.vietstock.vn/BRC-ctcp-cao-su-ben-thanh.htm",130,3223
4515,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BRR","CTCP Cao su Bà Rịa",112500000,"https://finance.vietstock.vn/BRR-ctcp-cao-su-ba-ria.htm",131,3223
3829,5,"UPCoM","Nước, chất thải và các hệ thống khác","BRS","CTCP Dịch vụ Đô thị Bà Rịa",4541950,"https://finance.vietstock.vn/BRS-ctcp-dich-vu-do-thi-ba-ria.htm",132,3223
4699,5,"UPCoM","Phát, truyền tải và phân phối điện năng","BSA","CTCP Thủy điện Buôn Đôn",65540346,"https://finance.vietstock.vn/BSA-ctcp-thuy-dien-buon-don.htm",133,3223
2081,2,"HNX","Kho bãi","BSC","CTCP Dịch vụ Bến Thành",3150747,"https://finance.vietstock.vn/BSC-ctcp-dich-vu-ben-thanh.htm",134,3223
4495,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSD","CTCP Bia, Rượu Sài Gòn - Đồng Xuân",3000000,"https://finance.vietstock.vn/BSD-ctcp-bia-ruou-sai-gon-dong-xuan.htm",135,3223
4253,5,"UPCoM","Vận tải trung chuyển và vận tải hành khách bằng đường bộ","BSG","CTCP Xe khách Sài Gòn",60000000,"https://finance.vietstock.vn/BSG-ctcp-xe-khach-sai-gon.htm",136,3223
4694,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSH","CTCP Bia Sài Gòn - Hà Nội",18000000,"https://finance.vietstock.vn/BSH-ctcp-bia-sai-gon-ha-noi.htm",137,3223
1402,1,"HOSE","Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan","BSI","CTCP Chứng khoán Ngân hàng Đầu tư và Phát triển Việt Nam",187800120,"https://finance.vietstock.vn/BSI-ctcp-chung-khoan-ngan-hang-dau-tu-va-phat-trien-viet-nam.htm",138,3223
4514,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSL","CTCP Bia Sài Gòn - Sông Lam",45000000,"https://finance.vietstock.vn/BSL-ctcp-bia-sai-gon-song-lam.htm",139,3223
4365,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSP","CTCP Bia Sài Gòn - Phú Thọ",12500000,"https://finance.vietstock.vn/BSP-ctcp-bia-sai-gon-phu-tho.htm",140,3223
2802,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BSQ","CTCP Bia Sài Gòn - Quảng Ngãi",45000000,"https://finance.vietstock.vn/BSQ-ctcp-bia-sai-gon-quang-ngai.htm",141,3223
4338,5,"UPCoM","Sản xuất xăng dầu và than đá","BSR","CTCP Lọc hóa Dầu Bình Sơn",244119369,"https://finance.vietstock.vn/BSR-ctcp-loc-hoa-dau-binh-son.htm",142,3223
1447,2,"HNX","Công nghiệp xuất bản - Ngoại trừ internet","BST","CTCP Sách và Thiết bị Bình Thuận",1100000,"https://finance.vietstock.vn/BST-ctcp-sach-va-thiet-bi-binh-thuan.htm",143,3223
2857,5,"UPCoM","Sản xuất hóa chất, dược phẩm","BT1","CTCP Bảo vệ Thực vật 1 Trung Ương",5250000,"https://finance.vietstock.vn/BT1-ctcp-bao-ve-thuc-vat-1-trung-uong.htm",144,3223
36,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BT6","CTCP Beton 6",32993550,"https://finance.vietstock.vn/BT6-ctcp-beton-6.htm",145,3223
2401,5,"UPCoM","Sản xuất đồ uống và thuốc lá","BTB","CTCP Bia Hà Nội - Thái Bình",7691226,"https://finance.vietstock.vn/BTB-ctcp-bia-ha-noi-thai-binh.htm",146,3223
2455,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTD","CTCP Bê tông Ly tâm Thủ Đức",6414100,"https://finance.vietstock.vn/BTD-ctcp-be-tong-ly-tam-thu-duc.htm",147,3223
1934,5,"UPCoM","Sản xuất giấy","BTG","CTCP Bao bì Tiền Giang",1190000,"https://finance.vietstock.vn/BTG-ctcp-bao-bi-tien-giang.htm",148,3223
1117,5,"UPCoM","Sản xuất trang thiết bị, dụng cụ điện","BTH","CTCP Chế tạo Biến thế và Vật liệu Điện Hà Nội",25000000,"https://finance.vietstock.vn/BTH-ctcp-che-tao-bien-the-va-vat-lieu-dien-ha-noi.htm",149,3223
4627,5,"UPCoM","Sản xuất sản phẩm khoáng chất phi kim","BTN","CTCP Gạch Tuy Nen Bình Định",4465570,"https://finance.vietstock.vn/BTN-ctcp-gach-tuy-nen-binh-dinh.htm",150,3223
